Time,Depth,Voltage,Current,data_water,roll,pitch,yaw
14.38.26,5.0,0.0,0.0,0.0,0.0,0.0,0.0
14.38.27,5.0,0.0,0.0,0.0,0.0,0.0,0.0
14.38.27,5.0,0.0,0.0,0.0,0.0,0.0,0.0
14.38.27,6.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.27,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.27,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.28,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.28,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.28,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.28,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.28,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.29,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.29,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.29,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.29,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.29,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.30,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.30,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.30,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.30,6.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.30,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.31,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.31,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.31,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.31,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.31,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.32,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.32,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.32,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.32,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.32,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.33,6.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.33,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.33,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.33,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.33,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.34,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.34,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.34,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.34,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.34,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.35,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.35,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.35,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.35,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.35,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.36,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.36,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.36,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.36,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.36,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.37,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.37,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.37,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.37,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.37,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.38,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.38,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.38,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.38,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.38,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.39,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.39,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.39,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.39,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.39,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.40,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.40,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.40,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.40,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.40,3.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.41,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.41,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.41,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.41,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.41,6.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.42,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.42,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.42,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.42,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.42,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.43,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.43,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.43,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.43,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.43,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.44,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.44,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.44,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.44,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.44,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.45,4.0,0.0,0.0,0.0,0.25,-0.62,-42.34
14.38.45,5.0,0.0,0.0,0.0,0.25,-0.62,-42.34
