Time,Depth,Voltage,Current,data_water,roll,pitch,yaw
14.37.30,5.0,0.0,0.0,0.0,0.0,0.0,0.0
14.37.30,6.0,0.0,0.0,0.0,0.0,0.0,0.0
14.37.31,5.0,16.09,3288.0,0.0,0.0,0.0,0.0
14.37.31,5.0,16.09,3288.0,0.0,0.19,-0.63,-32.5
14.37.31,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.31,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.31,6.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.32,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.32,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.32,6.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.32,6.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.32,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.33,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.33,5.0,16.22,3288.0,0.0,0.19,-0.63,-32.5
14.37.33,5.0,16.22,3288.0,0.0,0.19,-0.63,-32.5
14.37.33,4.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.33,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.34,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.34,6.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.34,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.34,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.34,6.0,16.28,3288.0,0.0,0.19,-0.63,-32.5
14.37.35,5.0,16.28,3288.0,0.0,0.19,-0.63,-32.5
14.37.35,5.0,16.28,3288.0,0.0,0.19,-0.63,-32.5
14.37.35,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.35,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.35,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.36,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.36,5.0,16.25,3288.0,0.0,0.19,-0.63,-32.5
14.37.36,4.0,16.25,3288.0,0.0,0.19,-0.63,-32.5
14.37.36,5.0,16.25,3287.0,0.0,0.19,-0.63,-32.5
14.37.36,6.0,16.25,3287.0,0.0,0.19,-0.63,-32.5
14.37.37,6.0,16.25,3287.0,0.0,0.19,-0.63,-32.5
14.37.37,5.0,16.24,3288.0,0.0,0.19,-0.63,-32.5
14.37.37,5.0,16.24,3288.0,0.0,0.19,-0.63,-32.5
14.37.37,4.0,16.16,3288.0,0.0,0.19,-0.63,-32.5
14.37.37,5.0,16.16,3288.0,0.0,0.19,-0.63,-32.5
14.37.38,5.0,16.27,3288.0,0.0,0.19,-0.63,-32.5
14.37.38,5.0,16.27,3288.0,0.0,0.19,-0.63,-32.5
14.37.38,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.38,4.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.38,5.0,16.27,3288.0,0.0,0.19,-0.63,-32.5
14.37.39,5.0,16.27,3288.0,0.0,0.19,-0.63,-32.5
14.37.39,5.0,16.27,3288.0,0.0,0.19,-0.63,-32.5
14.37.39,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.39,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.39,5.0,16.16,3288.0,0.0,0.19,-0.63,-32.5
14.37.40,5.0,16.16,3288.0,0.0,0.19,-0.63,-32.5
14.37.40,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.40,6.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.40,5.0,16.07,3288.0,0.0,0.19,-0.63,-32.5
14.37.40,5.0,16.07,3288.0,0.0,0.19,-0.63,-32.5
14.37.41,5.0,16.07,3288.0,0.0,0.19,-0.63,-32.5
14.37.41,5.0,15.95,3288.0,0.0,0.19,-0.63,-32.5
14.37.41,5.0,15.95,3288.0,0.0,0.19,-0.63,-32.5
14.37.41,4.0,15.97,3287.0,0.0,0.19,-0.63,-32.5
14.37.41,6.0,15.97,3287.0,0.0,0.19,-0.63,-32.5
14.37.42,5.0,15.94,3288.0,0.0,0.19,-0.63,-32.5
14.37.42,5.0,15.94,3288.0,0.0,0.19,-0.63,-32.5
14.37.42,5.0,16.01,3288.0,0.0,0.19,-0.63,-32.5
14.37.42,5.0,16.01,3288.0,0.0,0.19,-0.63,-32.5
14.37.42,5.0,16.01,3288.0,0.0,0.19,-0.63,-32.5
14.37.43,5.0,16.12,3288.0,0.0,0.19,-0.63,-32.5
14.37.43,5.0,16.12,3288.0,0.0,0.19,-0.63,-32.5
14.37.43,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.43,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.43,5.0,16.08,3288.0,0.0,0.19,-0.63,-32.5
14.37.44,5.0,16.08,3288.0,0.0,0.19,-0.63,-32.5
14.37.44,5.0,16.23,3288.0,0.0,0.19,-0.63,-32.5
14.37.44,5.0,16.23,3288.0,0.0,0.19,-0.63,-32.5
14.37.44,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.44,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.45,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.45,5.0,16.06,3288.0,0.0,0.19,-0.63,-32.5
14.37.45,5.0,16.06,3288.0,0.0,0.19,-0.63,-32.5
14.37.45,5.0,16.13,3288.0,0.0,0.19,-0.63,-32.5
14.37.45,5.0,16.13,3288.0,0.0,0.19,-0.63,-32.5
14.37.46,5.0,16.22,3288.0,0.0,0.19,-0.63,-32.5
14.37.46,6.0,16.22,3288.0,0.0,0.19,-0.63,-32.5
14.37.46,5.0,16.24,3288.0,0.0,0.19,-0.63,-32.5
14.37.46,5.0,16.24,3288.0,0.0,0.19,-0.63,-32.5
14.37.46,6.0,16.24,3288.0,0.0,0.19,-0.63,-32.5
14.37.47,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.47,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.47,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.47,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.47,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.48,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.48,5.0,16.27,3288.0,0.0,0.19,-0.63,-32.5
14.37.48,6.0,16.27,3288.0,0.0,0.19,-0.63,-32.5
14.37.48,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.48,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.49,4.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.49,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.49,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.49,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.49,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.50,5.0,16.18,3288.0,0.0,0.19,-0.63,-32.5
14.37.50,5.0,16.18,3288.0,0.0,0.19,-0.63,-32.5
14.37.50,6.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.50,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.50,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.51,5.0,16.2,3288.0,0.0,0.19,-0.63,-32.5
14.37.51,5.0,16.2,3288.0,0.0,0.19,-0.63,-32.5
14.37.51,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.51,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.51,5.0,15.98,3288.0,0.0,0.19,-0.63,-32.5
14.37.52,5.0,15.98,3288.0,0.0,0.19,-0.63,-32.5
14.37.52,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.52,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.52,6.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.52,6.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.53,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.53,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.53,5.0,16.15,3288.0,0.0,0.19,-0.63,-32.5
14.37.53,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.53,5.0,16.14,3288.0,0.0,0.19,-0.63,-32.5
14.37.54,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.54,5.0,16.26,3288.0,0.0,0.19,-0.63,-32.5
14.37.54,5.0,16.25,3288.0,0.0,0.19,-0.63,-32.5
14.37.54,5.0,16.25,3288.0,0.0,0.19,-0.63,-32.5
14.37.54,5.0,16.25,3288.0,0.0,0.19,-0.63,-32.5
14.37.55,6.0,16.16,3288.0,0.0,0.19,-0.63,-32.5
14.37.55,4.0,16.16,3288.0,0.0,0.19,-0.63,-32.5
14.37.55,5.0,16.13,3288.0,0.0,0.19,-0.63,-32.5
14.37.55,6.0,16.13,3288.0,0.0,0.19,-0.63,-32.5
14.37.55,6.0,16.22,3288.0,0.0,0.19,-0.63,-32.5
14.37.56,5.0,16.22,3288.0,0.0,0.19,-0.63,-32.5
14.37.56,4.0,16.25,3288.0,0.0,0.19,-0.63,-32.5
14.37.56,4.0,16.25,3288.0,0.0,0.19,-0.63,-32.5
14.37.56,5.0,16.25,3288.0,0.0,0.19,-0.63,-32.5
14.37.56,4.0,16.21,3288.0,0.0,0.19,-0.63,-32.5
14.37.57,5.0,16.21,3288.0,0.0,0.19,-0.63,-32.5
14.37.57,5.0,16.13,3288.0,0.0,0.19,-0.63,-32.5
14.37.57,5.0,16.13,3288.0,0.0,0.19,-0.63,-32.5
14.37.57,5.0,16.05,3288.0,0.0,0.19,-0.63,-32.5
14.37.57,5.0,16.05,3288.0,0.0,0.19,-0.63,-32.5
